target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.24151810541815355,0.7138839123746792,0.6940900518641335,10000.0
raw,P1_ovt_slot0,0.24151810541815355,0.7138839123746792,0.6940900518641335,10000.0
raw,P1b_e8_visual_memory,0.2881856085910415,0.7366160249556615,0.6679957323703567,1000.0
raw,P2_llm_image_stream,0.3352287937357795,0.7565541382256512,0.6442737490568662,10000.0
raw,P3_word_only,0.19099907138585637,0.689289602274377,0.720352825755205,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,0.006580128715049821,0.9999999999943222,
instance_residual,P1_ovt_text_stream,0.07051660144613148,0.29118133464548046,0.9566187278009652,10000.0
instance_residual,P1_ovt_slot0,0.07051660144613148,0.29118133464548046,0.9566187278009652,10000.0
instance_residual,P1b_e8_visual_memory,0.11623999580113631,0.3693059078927606,0.9290739616150181,10000.0
instance_residual,P2_llm_image_stream,0.16313106263440902,0.42553785998806526,0.9024563530014457,10000.0
instance_residual,P4_raw_siglip,0.33430915914603165,0.615898283836784,0.7835274738999386,100.0
