target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.23936204314028386,0.7120246328801892,0.6958346603127773,10000.0
raw,P1_ovt_slot0,0.23936204314028386,0.7120246328801892,0.6958346603127773,10000.0
raw,P1b_e8_visual_memory,0.23810652539585742,0.7137992333953491,0.6951315983234918,1.0
raw,P2_llm_image_stream,0.3328009775896815,0.7543675672629246,0.6473352022746229,10000.0
raw,P3_word_only,0.19081447218660508,0.689201498385066,0.7204584834069072,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,-0.005821869480771513,1.0000000000049731,
instance_residual,P1_ovt_text_stream,0.07063697339802888,0.2882791621060232,0.9577375379653379,10000.0
instance_residual,P1_ovt_slot0,0.07063697339802888,0.2882791621060232,0.9577375379653379,10000.0
instance_residual,P1b_e8_visual_memory,0.09300147676784432,0.32799184869195386,0.9436063981350928,10.0
instance_residual,P2_llm_image_stream,0.16717202292194389,0.4263658265189918,0.9016878613850314,10000.0
instance_residual,P4_raw_siglip,0.3351630606539334,0.6166773599961931,0.7828664419574209,100.0
