target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.21936021032697395,0.70319766117943,0.7057785949616453,10000.0
raw,P1_ovt_slot0,0.21936021032697395,0.70319766117943,0.7057785949616453,10000.0
raw,P1b_e8_visual_memory,0.3861054846857701,0.7807319243291714,0.6124501003959559,10000.0
raw,P1c_e8_visual_memory_mean,0.3809672228363534,0.7791841056913386,0.6156621606991781,1000.0
raw,P1d_e8_visual_memory_slot0,0.34008447077537607,0.7605527537996635,0.6420222176256193,1000.0
raw,P1d_e8_visual_memory_slot1,0.36176272312828206,0.7704276265559874,0.6288587377254995,1000.0
raw,P1d_e8_visual_memory_slot2,0.3555374545395351,0.768871956361843,0.6306076289725193,1000.0
raw,P1d_e8_visual_memory_slot3,0.34511722901166486,0.7637615926390763,0.6376537485663858,1000.0
raw,P2_llm_image_stream,0.3191598739305328,0.7485734856983042,0.65398785780387,10000.0
raw,P3_word_only,0.1907334020574335,0.6891618370171233,0.7205058547304619,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,-0.00025385020457833536,1.0000000000003335,
instance_residual,P1_ovt_text_stream,0.05828095262542321,0.25385575188391785,0.9667203466238095,100000.0
instance_residual,P1_ovt_slot0,0.05828095262542321,0.25385575188391785,0.9667203466238095,100000.0
instance_residual,P1b_e8_visual_memory,0.2093914488539229,0.483026602049774,0.8682689108260365,10000.0
instance_residual,P1c_e8_visual_memory_mean,0.2018249829085481,0.479805644533138,0.873424353511004,1000.0
instance_residual,P1d_e8_visual_memory_slot0,0.16881402691710357,0.44479713351109995,0.897429156959744,10000.0
instance_residual,P1d_e8_visual_memory_slot1,0.18245844837554603,0.4599905853142564,0.8883914014467801,1000.0
instance_residual,P1d_e8_visual_memory_slot2,0.1791397634829468,0.458853830357154,0.8881888558228926,1000.0
instance_residual,P1d_e8_visual_memory_slot3,0.17347440679263426,0.45457077813343294,0.8927260327665086,10000.0
instance_residual,P2_llm_image_stream,0.1558720104778909,0.41348653778077565,0.9083736682719045,10000.0
instance_residual,P4_raw_siglip,0.3355407631518045,0.6170229830603441,0.7825721735384273,100.0
