target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.5915646675376622,0.8047824125817472,
raw,P1_ovt_text_stream,0.22466651602722132,0.7061775461124508,0.7023561390070203,10000.0
raw,P1_ovt_slot0,0.22466651602722132,0.7061775461124508,0.7023561390070203,10000.0
raw,P1b_e8_visual_memory,0.26602092196441984,0.7276317059155534,0.6778056733035617,10000.0
raw,P2_llm_image_stream,0.33162368929682395,0.7542471002244231,0.6469281908815179,10000.0
raw,P3_word_only,0.19090840337567172,0.6892458800468593,0.7204053084130797,0.1
raw,P4_raw_siglip,0.5142704678977362,0.8331209163258453,0.5425117460100752,1000.0
instance_residual,P0_mean_floor,0.0,-0.00030537730259683004,0.9999999999992566,
instance_residual,P1_ovt_text_stream,0.058447043671788323,0.27174220972430146,0.96384238754944,10000.0
instance_residual,P1_ovt_slot0,0.058447043671788323,0.27174220972430146,0.96384238754944,10000.0
instance_residual,P1b_e8_visual_memory,0.11198216110159687,0.36177403354769133,0.9297878426887787,10000.0
instance_residual,P2_llm_image_stream,0.162266272592118,0.4227493113674091,0.9036403372210566,10000.0
instance_residual,P4_raw_siglip,0.3347394009555228,0.6162911733184816,0.7831939185600197,100.0
